"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"NGA",28,2016,3952.94907452297712203,2313261.997306320624238
"NGA",29,2016,11237.65532674398691618,5759282.258483259841107
"NGA",30,2016,3770.65947491940933151,2161233.113589881583978
"NGA",31,2016,1976.41633815867889027,953049.517785202865547
"NGA",32,2016,9.49501209799913228,3511.85196986273963
"NGA",33,2016,1693.70044281844408105,1108124.549592303900486
"NGA",35,2016,3283.17358419926920796,1095063.491992855019455
"NGA",37,2016,0.0,67.7350604602073
"NGA",1,2017,2269.54385185398726512,2006746.351779878391826
"NGA",2,2017,34.43566008081760867,10508.690731438130575
"NGA",3,2017,915.36108447908118983,1007295.315494457551460
"NGA",4,2017,323.90904080395317288,233873.196782540522112
"NGA",5,2017,0.0,87.36080717772775
"NGA",6,2017,1913.46559330870706391,1057120.091470836071565
"NGA",7,2017,717.07032820392543861,217511.971768450006555
"NGA",8,2017,0.0,33.434368063552476
"NGA",9,2017,16079.59627281790854849,9254283.662827095825147
"NGA",10,2017,11170.29000997088990682,7122407.047080663713028
"NGA",11,2017,201.16554208926215546,182348.867101883857349
"NGA",12,2017,37713.57831781156144111,23788940.082796087540342
"NGA",13,2017,11703.1852037014360935,7011588.825016507307425
"NGA",14,2017,293.76405776486744937,176317.903402005914448
"NGA",15,2017,410.64766512085685363,129012.494071052018934
"NGA",17,2017,1012.13186179285472782,1661047.618594971515158
"NGA",18,2017,0.0,19.931541907126372
"NGA",19,2017,24.44926188166884289,21738.317736194272036
"NGA",22,2017,0.07550328365397135,109.858159396755921
"NGA",23,2017,13998.11076294079621139,5288127.657596327035109
"NGA",24,2017,6742.41068268945677647,3218745.64479110751839
"NGA",25,2017,2479.36573135842554198,2043219.079438130345232
"NGA",26,2017,196.40792003076535843,61270.38869312102140
"NGA",27,2017,109.49426981692490794,42183.861125870127612
"NGA",28,2017,13448.40540918495981892,8440547.188496488891589
"NGA",29,2017,16783.45041649577391587,9835844.086494826912043
"NGA",30,2017,10828.94894395664946276,6558723.14600737230579
"NGA",31,2017,7871.10264811740644734,4540612.509012597882424
"NGA",32,2017,32.89118673795247099,12131.890470092885734
"NGA",33,2017,3063.65787697403832804,2076026.997477757135116
"NGA",34,2017,0.0,156.295720838168798
"NGA",35,2017,10708.60831218733593989,3572330.343268456464328
"NGA",37,2017,0.0,13.240939437398593
"NGA",1,2018,1821.31684839879176180,1543278.145958673941173
"NGA",2,2018,65.59101626280408448,20027.873395963625985
"NGA",3,2018,566.03166149266433588,547010.453768185362025
"NGA",4,2018,87.68508186592800624,62353.212549714407102
"NGA",5,2018,0.0,13.834825680665745
"NGA",6,2018,2930.14988289944315706,1659996.852541832162326
"NGA",7,2018,924.84120218767184831,273832.798270363810813
"NGA",9,2018,12495.60145814728574064,7390387.812222508574126
"NGA",10,2018,7662.89857566061075895,4882099.200046282959703
"NGA",11,2018,244.57395309190920214,204955.18497245928576
"NGA",12,2018,25238.93894946701210346,16371813.589844879878714
"NGA",13,2018,7689.05321987087921114,4726136.131611751476326
"NGA",14,2018,110.23215927358071712,66299.62339301984440
"NGA",15,2018,184.21844700686014837,57393.10152383864786
"NGA",17,2018,667.93564213632082965,811836.956179081058047
"NGA",18,2018,0.0,7.067101542750075
"NGA",19,2018,19.43937665756673271,15635.824959635891473
"NGA",22,2018,0.0,20.950590805304216
"NGA",23,2018,4885.46537675247091200,1949665.39398420288370
"NGA",24,2018,3877.54651716804635283,1820960.308487335918284
"NGA",25,2018,1416.00327875715364788,1228886.219542122726021
"NGA",26,2018,123.6767434288768790,42703.070040165026172
"NGA",27,2018,79.85563920723801224,29831.873696519787035
"NGA",28,2018,10924.11345449705406135,6895285.147476602092548
"NGA",29,2018,13192.91955593665048875,7231486.453615469929738
"NGA",30,2018,6095.15203032038818281,3795196.691791476349271
"NGA",31,2018,4815.85195818824669438,2945973.446562266152028
"NGA",32,2018,22.55959196313747613,8807.495973198963954
"NGA",33,2018,3765.04740002637389059,2294379.95794345578688
"NGA",34,2018,0.0,19.18899296414961
"NGA",35,2018,9916.36899449475503781,3087464.898302891251748
"NGA",36,2018,0.0,19.94459182879883
"NGA",1,2019,820.38878048622790000,626794.951677080848509
"NGA",2,2019,34.73597454686794948,10395.555198221128037
"NGA",3,2019,620.24511523122961792,443249.698621940620930
"NGA",4,2019,57.69154297002766985,41832.256868130464442
"NGA",6,2019,870.30212267182472306,494503.933355187443566
"NGA",7,2019,254.32065090045163133,72529.553487079005877
"NGA",9,2019,11122.08417896077147145,6441945.158080073831684
"NGA",10,2019,2613.22215086434152774,1651148.250188208658118
"NGA",11,2019,198.35248302569269128,141655.17313201006427
"NGA",12,2019,16464.83737972047051151,10889064.782117354704881
"NGA",13,2019,6386.94210306127963824,4077523.317262649804933
"NGA",14,2019,89.74716771438966012,55981.180836822732184
"NGA",15,2019,306.51675774331306993,97389.76167894892949
"NGA",16,2019,0.0,11.409289108567187
"NGA",17,2019,485.57708735768369192,357101.863834330831364
"NGA",19,2019,26.27568779755479921,13050.707056438825635
"NGA",23,2019,6914.03388548516122940,2656561.002526465755890
"NGA",24,2019,3449.70515092458789914,1579329.65720448131889
"NGA",25,2019,1172.51949696995229125,962408.019577588131872
"NGA",26,2019,115.45488601881263525,36441.792804969297638
"NGA",27,2019,59.14432290273871783,21859.98702462064421
"NGA",28,2019,6993.76256302501480534,4362700.945832788507562
"NGA",29,2019,8332.26608943953631822,4833660.316911319785767
"NGA",30,2019,5279.89086673043119859,3415070.811736506036711
"NGA",31,2019,2441.45772305389117451,1504026.558196787909064
"NGA",32,2019,20.66846306003417683,7901.369047487095513
"NGA",33,2019,922.86490331010584690,609539.656070960127566
"NGA",35,2019,10842.11722747974427442,3358642.033070827192581
"NGA",1,2020,833.02306526039372338,695928.91104580694966
"NGA",2,2020,26.12396777635850885,8202.848654756483805
"NGA",3,2020,388.22696916244129916,315338.62792279369178
"NGA",4,2020,88.67264643490316810,68779.669441160750695
"NGA",5,2020,0.0756171649077691,43.090460001706078
"NGA",6,2020,1651.04188460225586276,947858.362118098153723
"NGA",7,2020,422.27309985983730244,122530.433822892783496
"NGA",9,2020,12740.53119332877754573,7387719.629658332559715
"NGA",10,2020,3804.54517317469917677,2523696.624404877004385
"NGA",11,2020,58.25373282131510408,44074.790068072877690
"NGA",12,2020,25173.82253098622167564,17124739.305835761706651
